#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=0 open_gop=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:44 out:43 type:P dur:2 cpbdur:2 q:28.20 aq:23.12 tex:136232 mv:35038 misc:3330 imb:2290 pmb:624 smb:686 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.08 aq:24.34 tex:100717 mv:38166 misc:3389 imb:1044 pmb:1552 smb:1004 d:s ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:28.50 aq:23.08 tex:135479 mv:34111 misc:3362 imb:2247 pmb:629 smb:724 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:28.35 aq:24.59 tex:95544 mv:38394 misc:3406 imb:987 pmb:1572 smb:1041 d:s ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:28.85 aq:23.08 tex:131294 mv:33949 misc:3349 imb:2094 pmb:709 smb:797 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:28.68 aq:24.84 tex:95811 mv:36623 misc:3326 imb:949 pmb:1541 smb:1110 d:s ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:29.19 aq:22.61 tex:124733 mv:32706 misc:3473 imb:2147 pmb:710 smb:743 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:29.02 aq:25.31 tex:81807 mv:34433 misc:3320 imb:762 pmb:1609 smb:1229 d:s ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:29.70 aq:24.58 tex:120843 mv:31393 misc:3340 imb:1969 pmb:639 smb:992 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:29.45 aq:25.61 tex:82459 mv:32209 misc:3356 imb:847 pmb:1501 smb:1252 d:s ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:30.15 aq:25.09 tex:102828 mv:31883 misc:3417 imb:2016 pmb:687 smb:897 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:29.93 aq:26.22 tex:71398 mv:30976 misc:3514 imb:749 pmb:1620 smb:1231 d:s ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:30.55 aq:25.54 tex:106135 mv:31076 misc:3461 imb:2057 pmb:658 smb:885 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:30.35 aq:27.03 tex:70364 mv:30271 misc:3485 imb:781 pmb:1535 smb:1284 d:s ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:30.98 aq:25.77 tex:101473 mv:30775 misc:3496 imb:1971 pmb:699 smb:930 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:30.77 aq:26.64 tex:66853 mv:30053 misc:3494 imb:786 pmb:1525 smb:1289 d:s ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:31.35 aq:25.34 tex:100869 mv:31116 misc:3487 imb:2079 pmb:684 smb:837 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:31.16 aq:27.08 tex:61560 mv:29800 misc:3544 imb:789 pmb:1528 smb:1283 d:s ref:0 ;
in:62 out:61 type:P dur:2 cpbdur:2 q:31.68 aq:25.25 tex:101029 mv:30804 misc:3375 imb:2094 pmb:630 smb:876 d:s ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:31.51 aq:27.58 tex:64042 mv:29987 misc:3427 imb:777 pmb:1531 smb:1292 d:s ref:0 ;
in:64 out:63 type:P dur:2 cpbdur:2 q:31.95 aq:26.85 tex:95896 mv:29549 misc:3363 imb:1956 pmb:673 smb:971 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:31.81 aq:26.91 tex:59294 mv:28083 misc:3343 imb:645 pmb:1525 smb:1430 d:s ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:32.17 aq:26.35 tex:99894 mv:29548 misc:3422 imb:2118 pmb:570 smb:912 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:32.06 aq:28.78 tex:63356 mv:30609 misc:3499 imb:819 pmb:1533 smb:1248 d:s ref:0 ;
in:69 out:67 type:P dur:2 cpbdur:2 q:32.39 aq:26.55 tex:96141 mv:27576 misc:3371 imb:2145 pmb:484 smb:971 d:s ref:0 ;
in:67 out:68 type:B dur:2 cpbdur:2 q:32.24 aq:28.10 tex:68220 mv:29583 misc:3469 imb:932 pmb:1397 smb:1271 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:32.31 aq:28.75 tex:58316 mv:26948 misc:3352 imb:710 pmb:1440 smb:1450 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:32.61 aq:28.21 tex:76534 mv:26057 misc:3289 imb:1665 pmb:675 smb:1260 d:s ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:32.77 aq:27.89 tex:90744 mv:27848 misc:3392 imb:2000 pmb:568 smb:1032 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:32.69 aq:29.47 tex:53457 mv:26266 misc:3389 imb:774 pmb:1384 smb:1442 d:s ref:0 ;
in:75 out:73 type:P dur:2 cpbdur:2 q:32.95 aq:27.91 tex:87520 mv:28981 misc:3451 imb:2231 pmb:513 smb:856 d:s ref:0 ;
in:73 out:74 type:B dur:2 cpbdur:2 q:32.83 aq:28.51 tex:56258 mv:28055 misc:3519 imb:752 pmb:1569 smb:1279 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:32.89 aq:29.51 tex:52414 mv:26586 misc:3392 imb:692 pmb:1556 smb:1352 d:- ref:0 ;
